|      0 |      1 |      2 |      3 |
-------------------------------------
|   4405 |   4425 |   4416 |     -9 |
|   4409 |   4408 |   4428 |     -9 |
|   4409 |   4423 |   4411 |     -9 |
|   4407 |   4409 |   4426 |     -9 |
|   4416 |   4416 |   4408 |     -9 |
|   4400 |   4414 |   4418 |     -9 |
|   4419 |   4409 |   4412 |     -9 |
|   4397 |   4423 |   4417 |     -9 |
|   4419 |   4406 |   4422 |     -9 |
|   4399 |   4421 |   4412 |     -9 |
|   4415 |   4405 |   4426 |     -9 |
|   4408 |   4420 |   4412 |    -10 |
|   4404 |   4408 |   4423 |     -9 |
|   4411 |   4414 |   4409 |     -9 |
|   4402 |   4414 |   4417 |     -9 |
|   4418 |   4410 |   4415 |     -9 |
|   4397 |   4420 |   4417 |     -9 |
|   4420 |   4408 |   4422 |     -9 |
|   4398 |   4423 |   4413 |     -9 |
|   4417 |   4409 |   4426 |    -10 |
|   4408 |   4424 |   4414 |     -9 |
|   4407 |   4409 |   4427 |     -9 |
