|      0 |      1 |      2 |      3 |
-------------------------------------|   4426 |   4417 |   4439 |    -10 |
|   4424 |   4423 |   4415 |    -10 |
|   4414 |   4415 |   4433 |    -10 |
|   4422 |   4421 |   4416 |    -10 |
|   4405 |   4421 |   4427 |    -10 |
|   4426 |   4417 |   4419 |    -10 |
|   4406 |   4430 |   4423 |    -10 |
|   4427 |   4414 |   4426 |    -10 |
|   4409 |   4432 |   4418 |    -10 |
|   4424 |   4416 |   4433 |    -10 |
|   4408 |   4430 |   4418 |    -10 |
|   4418 |   4413 |   4432 |    -10 |
|   4417 |   4428 |   4416 |    -10 |
|   4410 |   4417 |   4430 |    -10 |
|   4428 |   4419 |   4419 |    -10 |
|   4402 |   4425 |   4426 |    -10 |
|   4427 |   4419 |   4424 |    -10 |
|   4408 |   4430 |   4422 |    -10 |
|   4427 |   4414 |   4429 |    -10 |
|   4412 |   4429 |   4419 |    -10 |
|   4421 |   4412 |   4432 |    -10 |
|   4417 |   4431 |   4416 |    -10 |
|   4413 |   4413 |   4436 |    -10 |
|   4421 |   4426 |   4417 |    -10 |
|   4406 |   4417 |   4430 |    -10 |
|   4425 |   4420 |   4417 |    -10 |
|   4424 |   4422 |   4418 |    -10 |
|   4407 |   4421 |   4427 |    -10 |
|   4426 |   4418 |   4423 |    -10 |
|   4401 |   4427 |   4426 |    -10 |
|   4425 |   4411 |   4428 |    -10 |
|   4404 |   4430 |   4418 |    -10 |
|   4426 |   4413 |   4435 |    -10 |
|   4410 |   4431 |   4417 |    -10 |
|   4421 |   4410 |   4434 |    -10 |
|   4417 |   4425 |   4414 |    -10 |
|   4413 |   4413 |   4432 |    -10 |
|   4424 |   4422 |   4417 |    -10 |
|   4407 |   4422 |   4429 |    -10 |
|   4427 |   4417 |   4421 |    -10 |
|   4405 |   4429 |   4423 |    -10 |
|   4426 |   4414 |   4428 |    -10 |
|   4407 |   4431 |   4417 |    -10 |
