Hydrofly Data,Version 0,3/6/2019
Pressure 0,Pressure 1,Distance
-5.597812500000003,-4.140937499999993,16
-5.597812500000003,-3.967500000000001,16
-5.597812500000003,-3.7246875000000017,17
-5.667187499999997,-3.932812499999997,17
-5.493750000000006,-3.8634375000000034,17
-5.493750000000006,-3.932812499999997,65
-5.424374999999998,-3.967500000000001,65
-5.5284374999999955,-3.932812499999997,16
-5.459062500000002,-3.967500000000001,16
-5.493750000000006,-3.967500000000001,65
-5.563124999999999,-3.7940624999999955,65
-5.563124999999999,-4.002187500000019,65
-5.597812500000003,-3.898124999999993,65
-5.5284374999999955,-4.002187500000019,65
-5.632499999999993,-3.898124999999993,65
-5.563124999999999,-3.932812499999997,65
-5.597812500000003,-3.932812499999997,65
-5.563124999999999,-3.967500000000001,16
-5.5284374999999955,-3.898124999999993,65
-5.563124999999999,-4.036874999999995,65
-5.597812500000003,-3.932812499999997,65
-5.597812500000003,-4.071562499999999,65
-5.597812500000003,-3.898124999999993,65
-5.389687500000008,-4.175624999999997,65
-5.667187499999997,-3.8287499999999994,65
-5.459062500000002,-4.036874999999995,65
-5.597812500000003,-3.8287499999999994,65
-5.563124999999999,-4.002187500000019,65
-5.632499999999993,-3.8287499999999994,65
-5.597812500000003,-3.932812499999997,65
-5.563124999999999,-3.898124999999993,65
-5.5284374999999955,-4.002187500000019,65
-5.597812500000003,-3.898124999999993,65
-5.632499999999993,-3.967500000000001,65
-5.597812500000003,-3.8634375000000034,65
-5.493750000000006,-4.036874999999995,65
-5.597812500000003,-3.898124999999993,65
-5.597812500000003,-4.071562499999999,65
-5.597812500000003,-3.932812499999997,65
-5.5284374999999955,-4.071562499999999,65
-5.597812500000003,-3.932812499999997,65
-5.632499999999993,-4.036874999999995,65
-5.493750000000006,-3.898124999999993,65
-5.563124999999999,-4.036874999999995,65
-5.493750000000006,-3.8634375000000034,65
-5.563124999999999,-4.071562499999999,65
-5.736562499999991,-3.967500000000001,65
-5.597812500000003,-4.175624999999997,65
-5.563124999999999,-3.967500000000001,65
-5.632499999999993,-4.036874999999995,65
-5.701875000000001,-4.071562499999999,65
-5.597812500000003,-4.140937499999993,65
-5.632499999999993,-3.967500000000001,65
-5.597812500000003,-3.3084374999999966,65
-5.597812500000003,-2.5106250000000045,65
-5.771249999999995,-3.169687500000009,65
-5.667187499999997,-2.9962500000000034,65
-5.701875000000001,-2.9615624999999994,65
-5.597812500000003,-2.5106250000000045,65
-5.355000000000004,-2.163749999999993,65
-5.597812500000003,-3.7593750000000057,65
-5.701875000000001,-3.100312500000001,65
-5.5284374999999955,-1.1924999999999955,65
-5.632499999999993,-0.7068749999999966,65
-5.493750000000006,-1.8862499999999898,65
